"pilot_site","subsite","date","person_sampling","gas_analyzer","logger_floating_chamber","logger_transparent_chamber","plot_id","chamber_type","strata","longitude","latitude","water_depth","transparent_dark","start_time","initial_co2","initial_ch4","end_time","final_co2","final_ch4","chamber_height_cm","comments","unix_start","unix_stop","unix_start_corrected","unix_stop_corrected","timestamp_start","timestamp_stop","start_time_corrected","end_time_corrected","LM.flux_co2","LM.C0_co2","LM.Ct_co2","LM.slope_co2","LM.se_co2","LM.se.rel_co2","LM.MAE_co2","LM.RMSE_co2","LM.r2_co2","LM.p.val_co2","LM.flux_ch4","LM.C0_ch4","LM.Ct_ch4","LM.slope_ch4","LM.se_ch4","LM.se.rel_ch4","LM.MAE_ch4","LM.RMSE_ch4","LM.r2_ch4","LM.p.val_ch4"
"VA","S1-VA-P2",2023-11-09,"CM, FM, MP","Picarro",20397898,10257417,4,"tube","vegetated",-0.26393,39.62471,6,"transparent","09:36:00",411.94,1.98,"09:44:00",374.58,2,54,"Phragmites",1699522443.08,1699522940.11,1699522443.08,1699522940.11,2023-11-09 09:34:03.08,2023-11-09 09:42:20.11,"09:34:03","09:42:20",-27.1346460053787,415.560689587164,381.76656777858,-0.0679928007687736,0.363135389795506,-1.33827207373011,2.18283645026234,2.84911256375041,0.921281410126793,4.26653512259179e-265,0.025783024681026,2.01303580513027,2.04514658617719,6.46059675886643e-05,0.000910114906790203,3.52989968419014,0.00268630458912877,0.00714064199816138,0.62692283316858,3.42497568493426e-104
"VA","S1-VA-P2",2023-11-09,"CM, FM, MP","Picarro",20397898,10257417,4,"tube","vegetated",-0.26393,39.62471,6,"dark","09:46:00",375.12,2,"09:54:00",380.52,2.02,54,"Phragmites",1699523042.15,1699523521.58,1699523042.15,1699523521.58,2023-11-09 09:44:02.15,2023-11-09 09:52:01.58,"09:44:02","09:52:01",2.42636206623526,383.474242146062,386.392309768469,0.00610037927332512,0.119202489068289,4.91280714972782,0.563481205279799,0.87747962324144,0.47765257525393,8.24980628024229e-66,0.0142970232464973,2.04768094161849,2.06487527597319,3.59456923172664e-05,0.000317265459975521,2.21910151858534,0.00175350285630273,0.00233547116727868,0.817866746859818,4.15736338528871e-169
"VA","S1-VA-P2",2023-11-09,"CM, FM, MP","Picarro",20397898,10257417,4,"tube","bare",-0.26393,39.62471,6,"transparent","09:56:00",410.87,1.97,"10:01:00",411.34,2.1,54,"After vegetation was cut",1699523642.1,1699523952.83,1699523642.1,1699523952.83,2023-11-09 09:54:02.1,2023-11-09 09:59:12.83,"09:54:02","09:59:12",-0.0161083923413504,419.312483768609,419.299984940056,-4.03647655241368e-05,0.157502806200778,-977.768624349101,0.436562116717257,0.602460827426653,-0.0034238902417254,0.918610368132904,0.0203163998696151,2.00540243860891,2.02116634560898,5.09092837853531e-05,0.000666449267339574,3.28035120206659,0.00180521567719994,0.00254922173594455,0.761964803260615,2.73734246493032e-92
"VA","S1-VA-P2",2023-11-09,"CM, FM, MP","Picarro",20397898,10257417,4,"tube","bare",-0.26393,39.62471,6,"dark","10:02:00",410.29,1.98,"10:07:00",409.57,2,54,"After vegetation was cut",1699524015.74,1699524318.26,1699524015.74,1699524318.26,2023-11-09 10:00:15.74,2023-11-09 10:05:18.26,"10:00:15","10:05:18",-1.11997039629546,419.338305888717,418.479770089942,-0.00283795662189777,0.184395442748452,-16.4643139995825,0.490996011001471,0.686593787168008,0.112901652171273,4.04724018657464e-09,0.0220943043470142,2.02437241630754,2.04130924900748,5.5986013143951e-05,0.000548188341699516,2.48112967527579,0.00165461615010032,0.0020411714302629,0.852001931123486,8.23748261590775e-119
"VA","S1-VA-P2",2023-11-09,"CM, FM, MP","Picarro",20397898,10257417,5,"tube","vegetated",-0.26394,39.62471,4,"transparent","10:10:00",411.82,1.97,"10:15:00",363.64,1.97,96,"Phragmites",1699524462.59,1699524785.5,1699524462.59,1699524785.5,2023-11-09 10:07:42.59,2023-11-09 10:13:05.5,"10:07:42","10:13:05",-67.6557730974687,419.059887540881,364.214152928023,-0.170405632980347,0.448666948084115,-0.663161364570825,1.24221399763541,1.80063796802046,0.987277733286095,5.26342914449646e-279,0.00258084648240859,2.02078932921432,2.02288151462246,6.50041760407275e-06,0.00582176831978179,225.57592477754,0.0113317620713884,0.0233645404957543,-0.00274978115050506,0.657869996625756
"VA","S1-VA-P2",2023-11-09,"CM, FM, MP","Picarro",20397898,10257417,5,"tube","vegetated",-0.26394,39.62471,4,"dark","10:16:00",347.09,1.98,"10:22:00",355.74,1.99,96,"Phragmites",1699524857.9,1699525195.85,1699524857.9,1699525195.85,2023-11-09 10:14:17.9,2023-11-09 10:19:55.85,"10:14:17","10:19:55",9.62406628742329,356.553250228745,364.804011611335,0.0244145094149033,0.265089145539676,2.75444014642848,0.696899289747899,1.15452507400448,0.809471638678669,1.73373856006511e-113,-0.00726926770104091,2.03770071959876,2.03146873912021,-1.84408127943217e-05,0.00490199259612659,-67.434476177355,0.0088656999954966,0.0213493213888133,0.00385301508905922,0.139114582502917
"VA","S1-VA-P2",2023-11-09,"CM, FM, MP","Picarro",20397898,10257417,6,"tube","vegetated",-0.26399,39.62451,0,"transparent","10:30:00",413.53,1.98,"10:35:00",369.39,1.99,13,"The gas trapped was got two minutes late// Phragmites",1699525669.6,1699525993.59,1699525669.6,1699525993.59,2023-11-09 10:27:49.6,2023-11-09 10:33:13.59,"10:27:49","10:33:13",-53.2374482351815,420.434233712306,377.248672891029,-0.133294527581877,0.418657263951698,-0.786396188829786,1.29192887815957,1.70321666970615,0.981665041720742,1.18335726665316e-263,0.0290594927880946,2.0168616356848,2.040434337511,7.27583964176232e-05,0.00170965132832149,5.88328000350343,0.0037824782738661,0.00695534723152058,0.488056570880027,6.86984537215555e-46
"VA","S1-VA-P2",2023-11-09,"CM, FM, MP","Picarro",20397898,10257417,6,"tube","vegetated",-0.26399,39.62451,0,"dark","10:39:00",354.94,2,"10:44:00",392.43,2.1,13,"Phragmites",1699526205.99,1699526561.21,1699526205.99,1699526561.21,2023-11-09 10:36:45.99,2023-11-09 10:42:41.21,"10:36:45","10:42:41",43.6244318673599,364.117802907611,403.47891247856,0.111166650877187,0.154755632735271,0.354745325293417,0.602352556544985,0.723541032591667,0.99595163558655,0,0.0214675306080967,2.05666911787901,2.07603867269756,5.47049755871135e-05,0.000425135344755073,1.98036445139493,0.00156609752775213,0.00198766830582182,0.887527823550578,4.72911520009255e-155
"VA","S1-VA-P2",2023-11-09,"CM, FM, MP","Picarro",20397898,10257417,6,"tube","bare",-0.26399,39.62451,0,"transparent","10:46:00",415.29,1.97,"10:52:00",425.11,1.99,13,"After vegetation was cut",1699526681.29,1699526985.13,1699526681.29,1699526985.13,2023-11-09 10:44:41.29,2023-11-09 10:49:45.13,"10:44:41","10:49:45",18.3025904441716,421.533602192305,435.465977710696,0.0458547692456443,0.13163983743555,0.719241562209953,0.375850575496062,0.477435303964952,0.986073437723057,1.07967516056012e-254,0.0367007376884241,2.0072210878851,2.03515857907449,9.1948943674447e-05,0.000525613488884356,1.432160555863,0.00148032069346205,0.00190631073937968,0.946964247766677,1.04846846267692e-175
"VA","S1-VA-P2",2023-11-09,"CM, FM, MP","Picarro",20397898,10257417,7,"tube","bare",-0.26395,39.62446,0,"dark","10:57:00",414.5,1.98,"11:03:00",420.56,1.97,15,"Wet sediment and a lot of biofilm",1699527295.59,1699527661.25,1699527295.59,1699527661.25,2023-11-09 10:54:55.59,2023-11-09 11:01:01.25,"10:54:55","11:01:01",9.18790492648592,421.982785729964,430.311347476049,0.0228395028271802,0.0769657202865677,0.837685205739331,0.291579146385544,0.36985687604994,0.976829905048787,8.24819298614089e-278,0.0029396647675156,2.00527999838609,2.00794471680938,7.3074854720241e-06,0.000366300226114016,12.4606121814219,0.0013505518513746,0.00176024672831602,0.157958189240565,1.70045548891075e-14
